,agent,opponent
0,1,1
1,2,1
2,2,2
3,2,3
4,3,3
5,4,3
6,5,3
7,5,4
8,6,4
9,7,4
10,7,5
11,7,6
12,8,6
13,9,6
14,10,6
15,11,6
16,12,6
17,13,6
18,14,6
19,15,6
20,16,6
21,17,6
22,17,7
23,17,8
24,18,8
25,19,8
26,20,8
27,21,8
28,22,8
29,23,8
30,23,9
31,23,10
32,23,11
33,23,12
34,24,12
35,25,12
36,26,12
37,26,13
38,27,13
39,28,13
40,28,14
41,29,14
42,30,14
43,31,14
44,32,14
45,33,14
46,33,15
47,34,15
48,34,16
49,35,16
50,36,16
51,37,16
52,38,16
53,39,16
54,39,17
55,39,18
56,40,18
57,41,18
58,41,19
59,41,20
60,42,20
61,42,21
62,43,21
63,44,21
64,44,22
65,44,23
66,44,24
67,44,25
68,45,25
69,45,26
70,45,27
71,45,28
72,46,28
73,46,29
74,46,30
75,46,31
76,47,31
77,47,32
78,48,32
79,48,33
80,49,33
81,50,33
82,51,33
83,52,33
84,52,34
85,52,35
86,52,36
87,52,37
88,52,38
89,52,39
90,53,39
91,53,40
92,54,40
93,55,40
94,56,40
95,57,40
96,57,41
97,57,42
98,57,43
99,58,43
100,59,43
101,59,44
102,59,45
103,59,46
104,59,47
105,60,47
106,61,47
107,62,47
108,62,48
109,63,48
110,63,49
111,64,49
112,64,50
113,65,50
114,65,51
115,66,51
116,67,51
117,67,52
118,68,52
119,68,53
120,69,53
121,70,53
122,71,53
123,71,54
124,71,55
125,72,55
126,72,56
127,72,57
128,73,57
129,73,58
130,73,59
131,73,60
132,74,60
133,74,61
134,75,61
135,76,61
136,76,62
137,77,62
138,77,63
139,78,63
140,78,64
141,78,65
142,78,66
143,78,67
144,78,68
145,79,68
146,80,68
147,81,68
148,81,69
149,82,69
150,83,69
151,84,69
152,84,70
153,84,71
154,85,71
155,85,72
156,85,73
157,86,73
158,86,74
159,87,74
160,88,74
161,89,74
162,90,74
163,91,74
164,92,74
165,92,75
166,93,75
167,94,75
168,94,76
169,95,76
170,95,77
171,96,77
172,97,77
173,97,78
174,97,79
175,98,79
176,98,80
177,98,81
178,98,82
179,99,82
180,99,83
181,99,84
182,100,84
183,100,85
184,101,85
185,101,86
186,102,86
187,102,87
188,103,87
189,104,87
190,104,88
191,105,88
192,105,89
193,106,89
194,106,90
195,107,90
196,108,90
197,109,90
198,110,90
199,111,90
200,111,91
201,111,92
202,112,92
203,113,92
204,114,92
205,115,92
206,116,92
207,117,92
208,117,93
209,117,94
210,117,95
211,118,95
212,119,95
213,120,95
214,121,95
215,121,96
216,121,97
217,122,97
218,122,98
219,122,99
220,122,100
221,122,101
222,123,101
223,124,101
224,124,102
225,125,102
226,125,103
227,125,104
228,125,105
229,125,106
230,125,107
231,126,107
232,126,108
233,127,108
234,127,109
235,127,110
236,128,110
237,128,111
238,128,112
239,129,112
240,130,112
241,131,112
242,132,112
243,133,112
244,133,113
245,134,113
246,135,113
247,136,113
248,136,114
249,136,115
250,137,115
251,138,115
252,138,116
253,139,116
254,140,116
255,141,116
256,141,117
257,141,118
258,141,119
259,142,119
260,143,119
261,143,120
262,144,120
263,144,121
264,144,122
265,145,122
266,146,122
267,146,123
268,146,124
269,146,125
270,147,125
271,148,125
272,148,126
273,148,127
274,148,128
275,149,128
276,149,129
277,149,130
278,149,131
279,150,131
280,150,132
281,151,132
282,151,133
283,151,134
284,152,134
285,153,134
286,153,135
287,153,136
288,154,136
289,155,136
290,156,136
291,157,136
292,158,136
293,159,136
294,159,137
295,159,138
296,159,139
297,159,140
298,160,140
299,160,141
300,160,142
301,160,143
302,161,143
303,161,144
304,162,144
305,162,145
306,163,145
307,164,145
308,164,146
309,165,146
310,166,146
311,166,147
312,167,147
313,167,148
314,167,149
315,168,149
316,169,149
317,169,150
318,170,150
319,171,150
320,172,150
321,173,150
322,174,150
323,174,151
324,174,152
325,174,153
326,175,153
327,176,153
328,177,153
329,178,153
330,178,154
331,178,155
332,178,156
333,178,157
334,179,157
335,179,158
336,179,159
337,179,160
338,179,161
339,179,162
340,179,163
341,180,163
342,180,164
343,181,164
344,182,164
345,182,165
346,183,165
347,183,166
348,183,167
349,183,168
350,183,169
351,183,170
352,183,171
353,183,172
354,184,172
355,184,173
356,184,174
357,185,174
358,185,175
359,186,175
360,186,176
361,186,177
362,186,178
363,187,178
364,188,178
365,189,178
366,190,178
367,190,179
368,190,180
369,191,180
370,192,180
371,193,180
372,193,181
373,194,181
374,195,181
375,196,181
376,197,181
377,197,182
378,197,183
379,198,183
380,198,184
381,198,185
382,199,185
383,199,186
384,200,186
385,200,187
386,200,188
387,201,188
388,202,188
389,202,189
390,202,190
391,202,191
392,202,192
393,203,192
394,204,192
395,204,193
396,204,194
397,204,195
398,205,195
399,206,195
400,206,196
401,206,197
402,207,197
403,207,198
404,208,198
405,209,198
406,209,199
407,210,199
408,211,199
409,212,199
410,212,200
411,212,201
412,213,201
413,213,202
414,214,202
415,214,203
416,215,203
417,216,203
418,216,204
419,216,205
420,217,205
421,218,205
422,219,205
423,220,205
424,220,206
425,220,207
426,220,208
427,220,209
428,221,209
429,221,210
430,222,210
431,223,210
432,224,210
433,225,210
434,226,210
435,226,211
436,226,212
437,226,213
438,227,213
439,228,213
440,228,214
441,229,214
